Ids,UserName,FullName,Followers,Friends,Location,Created
1652526218,AnilKapoor,Anil Kapoor,4994313,60,"Mumbai, India",Aug-2013
53355887,atulkasbekar,atul kasbekar,953765,343,"ÜT: 18.986431,72.823769",Jul-2009
53555106,udaychopra,Uday Chopra,1481809,379,"Hell, 7th Fire, Oven 666",Jul-2009
68497896,RanveerOfficial,Ranveer Singh,12789980,862,Mumbai,Aug-2009
4575856758,CPMumbaiPolice,CP Mumbai Police,3353430,23,"Mumbai, Maharashtra",Dec-2015
2729506932,mrsfunnybones,Twinkle Khanna,5316236,88,,Aug-2014
87170183,juniorbachchan,Abhishek Bachchan,14707884,410,"Mumbai, India",Nov-2009
56631494,shahidkapoor,Shahid Kapoor,14494052,96,,Jul-2009
122928781,AzmiShabana,Azmi Shabana,3270467,271,"ÜT: 19.111431,72.823609",Mar-2010
40884854,jiteshpillaai,J,721109,1170,Mumbai,May-2009
79708561,Asli_Jacqueline,Jacqueline Fernandez,14051330,202,,Oct-2009
132385468,BeingSalmanKhan,Chulbul Pandey,38222008,24,MUMBAI,Apr-2010
613321095,MikaSingh,King Mika Singh,4207945,173,mumbai,Jun-2012
813286,BarackObama,Barack Obama,108917081,611754,"Washington, DC",Mar-2007
114501238,sussannekroshan,Sussanne Khan,610088,71,"ÜT: 19.109427,72.825723",Feb-2010
1196254680,NSaina,Saina Nehwal,8402331,577,India,Feb-2013
99642673,taran_adarsh,taran adarsh,3680564,179,"Mumbai, India",Dec-2009
2469605695,arjunk26,Arjun Kapoor,6128252,794,,Apr-2014
389974129,ritesh_sid,Ritesh Sidhwani,575560,120,Mumbai-India,Oct-2011
586361294,RonnieScrewvala,Ronnie Screwvala,2130370,293,Mumbai,May-2012
99918503,ImIshant,Ishant Sharma,2264007,60,"New Delhi, India",Dec-2009
121046433,ImRo45,Rohit Sharma,14930299,43,,Mar-2010
155927976,rioferdy5,Rio Ferdinand,10554871,613,www.neweraglobalsports.com,Jun-2010
253508662,juventusfc,JuventusFC,7341905,57,Allianz Stadium,Feb-2011
114423418,rpsingh,R P Singh रुद्र प्रताप सिंह,1574542,322,"Rae bareli, India",Feb-2010
138330579,MishiAmit,Amit Mishra,1354021,54,Delhi,Apr-2010
358814014,ashwinravi99,Ashwin Ravichandran,9698651,236,Chennai,Aug-2011
2809029114,ChennaiyinFC,Chennaiyin FC 🏆🏆,861166,98,Chennai,Sep-2014
34949757,aarbeloa17,Álvaro Arbeloa,6049324,1236,"Madrid, Comunidad de Madrid",Apr-2009
121033748,AnirudhChaudhry,Anirudh Chaudhry,287886,332,,Mar-2010
183387449,XabiAlonso,Xabi Alonso,11930664,536,,Aug-2010
1059194370,kobebryant,Kobe Bryant,14499233,509,,Jan-2013
186202772,DJBravo47,Dwayne DJ Bravo,1038819,0,,Sep-2010
60865434,KAKA,Kaka,29667500,305,,Jul-2009
280701704,jamesdrodriguez,James Rodríguez,18439360,295,"Madrid, Comunidad de Madrid",Apr-2011
558797310,ManUtd,Manchester United,20283139,129,"Manchester, England",Apr-2012
180505807,instagram,Instagram,36380296,62,,Aug-2010
92424604,MClarke23,Michael Clarke,2144133,629,"Sydney, New South Wales",Nov-2009
92945681,harbhajan_singh,Harbhajan Turbanator,10189709,128,India,Nov-2009
300392950,TwitterSports,Twitter Sports,15272596,1992,,May-2011
252753618,luisnani,Nani,3925469,176,,Feb-2011
59808841,YUVSTRONG12,yuvraj singh,4720718,378,"Mumbai, India",Jul-2009
361315016,ajinkyarahane88,Ajinkya Rahane,5594361,69,Mumbai,Aug-2011
109275593,ImZaheer,zaheer khan,5944164,204,,Jan-2010
333534411,officialpepe,Pepe,3564452,42,,Jul-2011
58531272,FALCAO,Radamel Falcao,17433711,619,"Estambul, Turquía",Jul-2009
277198304,richardreedinno,richard reed,14311,198,,Apr-2011
8453452,GuyKawasaki,Guy Kawasaki,1443303,299,"Silicon Valley, California",Aug-2007
3282859598,TwitterVideo,Twitter Video,15149017,949,,Jul-2015
49573859,iamwill,will.i.am,12787669,1455,,Jun-2009
14362993,vmbusiness,VirginMediaBusiness,18461,3812,UK,Apr-2008
19397785,Oprah,Oprah Winfrey,42589586,308,,Jan-2009
17872077,virginmedia,Virgin Media,281654,150,,Dec-2008
21982720,ariannahuff,Arianna Huffington,2951626,2726,,Feb-2009
12101862,VirginAmerica,Virgin America,799929,3,,Jan-2008
8381802,virginredroom,Virgin Red Room,6016,1397,,Aug-2007
2842068128,HyperloopOne,Virgin Hyperloop One,87171,99,"Los Angeles, California",Oct-2014
586671909,VineCreators,Vine Creators,14202374,2,,May-2012
45553679,VirginRadioIT,Virgin Radio Italy,67300,1098,Milano,Jun-2009
41355103,VirginRadioDXB,Virgin Radio Dubai,83665,129,"Dubai, UAE",May-2009
8071902,zaibatsu,Reg Saddler,524205,220383,Minneapolis / TwinCities / MN,Aug-2007
972651,mashable,Mashable,9816899,2784,,Mar-2007
16319797,IBMResearch,IBM Research,187623,938,12 labs on 6 continents.,Sep-2008
2425151,facebook,Facebook,13555779,736,"Menlo Park, California",Mar-2007
17093617,hootsuite,Hootsuite,7848621,1491765,"Vancouver, Canada",Oct-2008
15439395,stephenfry,Stephen Fry,12749300,49621,"Los Angeles, CA/ London UK",Jul-2008
12,jack,jack 🌍🌏🌎,4225595,4047,,Mar-2006
20626359,VirginAtlantic,Virgin Atlantic,609883,371,Worldwide,Feb-2009
62770378,VirginBalloons,VirginBalloonFlights,9219,1058,"Telford, Shropshire",Aug-2009
783214,Twitter,Twitter,56683379,103,Everywhere,Feb-2007
14839109,dpatil,dj patil,67096,1788,"California, USA",May-2008
21307280,JC7777,Justin Cooke,25470,1282,,Feb-2009
12988562,abisignorelli,Abi Signorelli,2881,819,Brighton,Feb-2008
5768872,garyvee,Gary Vaynerchuk,1998000,11383,NYC,May-2007
15485441,jimmyfallon,jimmy fallon,51417292,9042,"New York, New York",Jul-2008
2895499182,hardmaru,hardmaru,64655,657,東京,Nov-2014
29090443,latentjasper,Jasper,4198,250,,Apr-2009
783356145670852608,distillpub,distillpub,27915,81,,Oct-2016
11766442,dennybritz,Denny Britz,39745,380,,Jan-2008
64844802,a16z,a16z,346731,22,Andreessen Horowitz is a tech VC firm based in Silicon Valley,Aug-2009
18104734,DynamicWebPaige,👩‍💻 DynamicWebPaige @ #TFDocsSprint ✍️,30519,1205,"179°56′39.4″, +0°2′46.2″ 8k pc",Dec-2008
235786679,carpedm20,Taehoon Kim,2540,592,"San Francisco, CA",Jan-2011
17661484,rajatmonga,Rajat Monga,13248,214,,Nov-2008
887992016,Luke_Metz,Luke Metz,4026,992,"Mountain View, CA",Oct-2012
2309105822,ericjang11,Eric Jang,14398,1434,,Jan-2014
184983241,douglas_eck,Douglas Eck,8344,631,"Mountain View, CA",Aug-2010
760048,mrry,Derek Murray,3643,345,"San Francisco, CA",Feb-2007
26970530,mat_kelcey,mat kelcey,6646,1071,"Victoria, Australia",Mar-2009
167960058,antgoldbloom,Anthony Goldbloom,35042,575,San Francisco,Jul-2010
14393114,doomie,Dumitru Erhan,4806,1070,"San Francisco, CA",Apr-2008
286454227,MelodyGuan,Melody Guan ʕᵔᴥᵔʔ,3117,699,"Stanford, CA",Apr-2011
155151279,mangeshkarlata,Lata Mangeshkar,13892084,10,"Mumbai, Maharashtra",Jun-2010
77732185,drharshvardhan,Dr Harsh Vardhan,1914448,551,Delhi,Sep-2009
124258971,ashabhosle,ashabhosle,4860407,24,India,Mar-2010
1176135546,rajinikanth,Rajinikanth,5525954,24,,Feb-2013
25073877,realDonaldTrump,Donald J. Trump,65062065,47,"Washington, DC",Mar-2009
2790948029,radhichappi,Radhika Sheshadri,5897,177,Singapore,Sep-2014
34197952,anandmahindra,anand mahindra,7275248,228,"Mumbai, India",Apr-2009
137780376,Dev_Fadnavis,Devendra Fadnavis,3743890,26,"Maharashtra State,India",Apr-2010
4452823454,SwachhBharatGov,Swachh Bharat Urban,179069,247,,Dec-2015
